Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positivos,,,,2025-01-18 09:12:36,2025-01-18 09:14:57,2m - 20.421s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/Geo sin seleccionar/6. Limpiar y digitar dirección,,,,2025-01-18 09:12:36,2025-01-18 09:12:39,2.550s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:37,2025-01-18 09:12:39,2.305s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/Geo sin seleccionar/5. Dirección distinta al destino,,,,2025-01-18 09:12:39,2025-01-18 09:12:40,1.536s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:39,2025-01-18 09:12:40,1.354s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/Geo sin seleccionar/4. Dirección nueva,,,,2025-01-18 09:12:40,2025-01-18 09:12:42,1.524s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:41,2025-01-18 09:12:42,1.369s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/Geo sin seleccionar/3. Cambio por dirección a tienda,,,,2025-01-18 09:12:42,2025-01-18 09:12:43,1.506s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:42,2025-01-18 09:12:43,1.347s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/Geo sin seleccionar/2. Dirección callao,,,,2025-01-18 09:12:43,2025-01-18 09:12:45,1.444s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:44,2025-01-18 09:12:45,1.275s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/Geo sin seleccionar/1.Destin_Lima,,,,2025-01-18 09:12:45,2025-01-18 09:12:46,1.467s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:45,2025-01-18 09:12:46,1.296s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/7. Limpiar y digitar dirección distinta a destino,,,,2025-01-18 09:12:46,2025-01-18 09:12:48,1.539s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:47,2025-01-18 09:12:48,1.360s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/6. Limpiar y digitar dirección,,,,2025-01-18 09:12:48,2025-01-18 09:12:49,1.502s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:48,2025-01-18 09:12:49,1.327s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/5. Dir_distint_dest,,,,2025-01-18 09:12:49,2025-01-18 09:12:51,1.547s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:50,2025-01-18 09:12:51,1.394s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/4. Direcc_nueva,,,,2025-01-18 09:12:51,2025-01-18 09:12:52,1.507s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:51,2025-01-18 09:12:52,1.360s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/3.Camb_Dir_Tienda,,,,2025-01-18 09:12:52,2025-01-18 09:12:54,1.484s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:53,2025-01-18 09:12:54,1.347s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/2.Direccion_callao,,,,2025-01-18 09:12:54,2025-01-18 09:12:55,1.453s,FAILED
"callTestCase(findTestCase(""Registro_Envíos/1.Inicio/1.Principal/Principal-Home""), [:], STOP_ON_FAILURE)",,,,2025-01-18 09:12:54,2025-01-18 09:12:55,1.310s,FAILED
,,,,,,,
Test Cases/Registro_Envíos/3. Positivas/1. Paquetes/Origen Lima/2.Girley/1.Destin_Lima,,,,2025-01-18 09:12:55,2025-01-18 09:12:57,1.440s,FAILED
